"","rules","support","confidence","lift","count"
"125","{7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.194403750366247,0.88202060485211,1.05302538674604,2654
"126","{3=Unfallaktegorie_3,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.194403750366247,0.838281743524953,1.57677354127895,2654
"127","{3=Unfallaktegorie_3,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.194403750366247,1,2.62942989214176,2654
"128","{6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {3=Unfallaktegorie_3}",0.186859068268386,0.883310249307479,1.05456506546093,2551
"129","{3=Unfallaktegorie_3,7=Fahrrad_1,8=PKW_1} => {6=Lichverhaeltniss_0}",0.186859068268386,0.805748578648136,1.07875645736044,2551
"130","{3=Unfallaktegorie_3,6=Lichverhaeltniss_0,8=PKW_1} => {7=Fahrrad_1}",0.186859068268386,1,2.62942989214176,2551
"131","{6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.164225021974802,0.882329791420701,1.05339451792526,2242
"132","{3=Unfallaktegorie_3,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.164225021974802,0.844762622456669,1.13098944020579,2242
"133","{3=Unfallaktegorie_3,6=Lichverhaeltniss_0,8=PKW_1} => {9=StrassenZustand_0}",0.164225021974802,0.878871030968248,1.65312032443904,2242
"134","{4=UnfallArt_5,7=Fahrrad_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.144227951948432,0.866256049274087,1.15976538047365,1969
"135","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1} => {9=StrassenZustand_0}",0.144227951948432,0.865494505494505,1.62795962923822,1969
"136","{4=UnfallArt_5,7=Fahrrad_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.143495458540873,0.861856577210735,1.02895198881338,1959
"137","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1} => {9=StrassenZustand_0}",0.143495458540873,0.827629911280101,1.55673788217084,1959
"138","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1} => {3=Unfallaktegorie_3}",0.142909463814826,0.857582417582418,1.02384916176958,1951
"139","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1} => {6=Lichverhaeltniss_0}",0.142909463814826,0.824250105618927,1.10352676688336,1951
"140","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=PKW_1} => {3=Unfallaktegorie_3}",0.106651040140639,0.820744081172492,0.979868666039952,1456
"141","{4=UnfallArt_5,6=Lichverhaeltniss_0,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.16210079109288,0.82451564828614,0.984371458714682,2213
"142","{3=Unfallaktegorie_3,4=UnfallArt_5,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.16210079109288,0.85708752904725,1.14749033505473,2213
"143","{6=Lichverhaeltniss_0,7=Fahrrad_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.208907119835921,0.872972145699418,1.04222262641788,2852
"144","{3=Unfallaktegorie_3,7=Fahrrad_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.208907119835921,0.848556977090152,1.13606941759682,2852
"145","{3=Unfallaktegorie_3,7=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.140785232932904,0.816482582837723,1.09312741207224,1922
"146","{4=UnfallArt_5,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.124230881922063,0.860913705583756,1.15261291640967,1696
"147","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.124230881922063,0.904051172707889,1.70048313720145,1696
"148","{4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.124230881922063,1,2.62942989214176,1696
"149","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,9=StrassenZustand_0} => {8=PKW_1}",0.124230881922063,0.86135093956323,3.27827237996019,1696
"150","{4=UnfallArt_5,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.125695868737181,0.871065989847716,1.03994690803682,1716
"151","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.125695868737181,0.8592889334001,1.61628720291791,1716
"152","{3=Unfallaktegorie_3,4=UnfallArt_5,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.125695868737181,1,2.62942989214176,1716
"153","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1,9=StrassenZustand_0} => {8=PKW_1}",0.125695868737181,0.875957120980092,3.33386300965158,1716
"154","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {3=Unfallaktegorie_3}",0.119542924113683,0.869936034115139,1.03859787824573,1632
"155","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1,8=PKW_1} => {6=Lichverhaeltniss_0}",0.119542924113683,0.817225838758137,1.0941225017874,1632
"156","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1} => {7=Fahrrad_1}",0.119542924113683,1,2.62942989214176,1632
"157","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1} => {8=PKW_1}",0.119542924113683,0.836494105586879,3.1836681152696,1632
"158","{4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.107969528274246,0.869103773584906,1.03760426033941,1474
"159","{3=Unfallaktegorie_3,4=UnfallArt_5,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.107969528274246,0.858974358974359,1.15001647040482,1474
"160","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1} => {9=StrassenZustand_0}",0.107969528274246,0.903186274509804,1.69885629920196,1474
"161","{6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.164225021974802,0.882329791420701,1.05339451792526,2242
"162","{3=Unfallaktegorie_3,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.164225021974802,0.844762622456669,1.13098944020579,2242
"163","{3=Unfallaktegorie_3,6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.164225021974802,0.878871030968248,1.65312032443904,2242
"164","{3=Unfallaktegorie_3,6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.164225021974802,1,2.62942989214176,2242
"165","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.124084383240551,0.860335195530726,1.02713564402147,1694
"166","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.124084383240551,0.864726901480347,1.15771811895751,1694
"167","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1} => {9=StrassenZustand_0}",0.124084383240551,0.868272680676576,1.63318526268898,1694
"168","{4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {3=Unfallaktegorie_3}",0.107969528274246,0.869103773584906,1.03760426033941,1474
"169","{3=Unfallaktegorie_3,4=UnfallArt_5,7=Fahrrad_1,8=PKW_1,9=StrassenZustand_0} => {6=Lichverhaeltniss_0}",0.107969528274246,0.858974358974359,1.15001647040482,1474
"170","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,8=PKW_1} => {9=StrassenZustand_0}",0.107969528274246,0.903186274509804,1.69885629920196,1474
"171","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,8=PKW_1,9=StrassenZustand_0} => {7=Fahrrad_1}",0.107969528274246,1,2.62942989214176,1474
"172","{3=Unfallaktegorie_3,4=UnfallArt_5,6=Lichverhaeltniss_0,7=Fahrrad_1,9=StrassenZustand_0} => {8=PKW_1}",0.107969528274246,0.87012987012987,3.31168469111039,1474
