,0,1,2,3,4,5,6,7,8,9,10,11
12448,Monat_12,Stunde_5,Wochentag_6,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_1,,
12449,Monat_12,Stunde_17,Wochentag_1,Unfallaktegorie_2,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_1,PKW_1,StrassenZustand_0,,,
12450,Monat_12,Stunde_19,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_1,,
12451,Monat_12,Stunde_21,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_7,Lichverhaeltniss_2,PKW_1,Sonstiges_1,StrassenZustand_0,,
12452,Monat_12,Stunde_10,Wochentag_5,Unfallaktegorie_3,UnfallArt_6,UnfallTyp_7,Lichverhaeltniss_0,Fahrrad_1,Fuss_1,StrassenZustand_0,,
12453,Monat_12,Stunde_20,Wochentag_1,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12454,Monat_12,Stunde_21,Wochentag_2,Unfallaktegorie_3,UnfallArt_0,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,Sonstiges_1,StrassenZustand_1,,
12455,Monat_12,Stunde_18,Wochentag_7,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_2,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12456,Monat_12,Stunde_9,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_7,Lichverhaeltniss_0,PKW_1,StrassenZustand_0,,,
12457,Monat_12,Stunde_20,Wochentag_7,Unfallaktegorie_3,UnfallArt_4,UnfallTyp_1,Lichverhaeltniss_2,Fahrrad_1,PKW_1,StrassenZustand_0,,
12458,Monat_12,Stunde_20,Wochentag_7,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12459,Monat_12,Stunde_22,Wochentag_2,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12460,Monat_12,Stunde_20,Wochentag_7,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_0,,,
12461,Monat_12,Stunde_9,Wochentag_5,Unfallaktegorie_3,UnfallArt_3,UnfallTyp_6,Lichverhaeltniss_0,PKW_1,KraftRad_1,StrassenZustand_0,,
12462,Monat_12,Stunde_22,Wochentag_7,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_1,Lichverhaeltniss_2,PKW_1,Sonstiges_1,StrassenZustand_0,,
12463,Monat_12,Stunde_18,Wochentag_7,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_6,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12464,Monat_12,Stunde_9,Wochentag_5,Unfallaktegorie_2,UnfallArt_0,UnfallTyp_1,Lichverhaeltniss_0,Fahrrad_1,StrassenZustand_0,,,
12465,Monat_12,Stunde_18,Wochentag_5,Unfallaktegorie_3,UnfallArt_5,UnfallTyp_3,Lichverhaeltniss_2,PKW_1,StrassenZustand_1,,,
12466,Monat_12,Stunde_16,Wochentag_7,Unfallaktegorie_3,UnfallArt_2,UnfallTyp_2,Lichverhaeltniss_1,PKW_1,StrassenZustand_0,,,
